party,vote_share_2021,vote_share_2026,delta_pts
TVK,0.0,34.92,34.92
DMK,37.7,24.19,-13.51
AIADMK,33.29,21.21,-12.08
NTK,6.58,4.0,-2.58
INC,4.27,3.37,-0.9
BJP,2.62,2.97,0.35
PMK,3.8,2.17,-1.63
DMDK,0.43,1.2,0.77
VCK,0.99,1.09,0.1
IND,1.39,1.06,-0.33
AMMK,2.35,0.86,-1.49
CPI,1.09,0.66,-0.43
CPI(M),0.85,0.6,-0.25
NOTA,0.75,0.41,-0.34
IUML,0.48,0.29,-0.19
