,ac_number,winner_party,winner_votes,year,total_votes,runner_votes,num_candidates,winner_share,margin_votes,margin_pct,constituency,district,region,reserved,turnout
0,1,DMK,126452,2021,222069,75514,13,56.94,50938,22.94,Gummidipundi,Tiruvallur,Chennai Metro,GEN,78.08
1,2,INC,94528,2021,210354,84839,11,44.94,9689,4.61,Ponneri,Tiruvallur,Chennai Metro,SC,78.2
2,3,DMK,120314,2021,232624,91061,15,51.72,29253,12.58,Tiruttani,Tiruvallur,Chennai Metro,GEN,78.76
3,4,DMK,107709,2021,214243,85008,12,50.27,22701,10.6,Thiruvallur,Tiruvallur,Chennai Metro,GEN,77.2
4,5,DMK,149578,2021,263736,55468,15,56.72,94110,35.68,Poonamallee,Tiruvallur,Chennai Metro,SC,72.99
5,6,DMK,150287,2021,300927,95012,21,49.94,55275,18.37,Avadi,Tiruvallur,Chennai Metro,GEN,67.37
6,7,DMK,121298,2021,273870,89577,21,44.29,31721,11.58,Maduravoyal,Tiruvallur,Chennai Metro,GEN,60.3
7,8,DMK,114554,2021,240299,72408,24,47.67,42146,17.54,Ambattur,Tiruvallur,Chennai Metro,GEN,62.01
8,9,DMK,151485,2021,302700,94414,21,50.04,57071,18.85,Madavaram,Tiruvallur,Chennai Metro,GEN,66.37
9,10,DMK,88185,2021,199996,50524,21,44.09,37661,18.83,Thiruvottiyur,Tiruvallur,Chennai Metro,GEN,65.15
10,11,DMK,95763,2021,187027,53284,32,51.2,42479,22.71,Dr. Radhakrishnan Nagar,Chennai,Chennai Metro,GEN,70.98
11,12,DMK,105267,2021,200387,50291,23,52.53,54976,27.43,Perambur,Chennai,Chennai Metro,GEN,63.0
12,13,DMK,105522,2021,173388,35138,37,60.86,70384,40.59,Kolathur,Chennai,Chennai Metro,GEN,61.04
13,14,DMK,76127,2021,144092,38890,24,52.83,37237,25.84,Villivakkam,Chennai,Chennai Metro,GEN,55.92
14,15,DMK,81727,2021,133696,26714,24,61.13,55013,41.15,Thiru-Vi-Ka-Nagar,Chennai,Chennai Metro,SC,60.62
15,16,DMK,68832,2021,119271,30064,19,57.71,38768,32.5,Egmore,Chennai,Chennai Metro,SC,61.13
