,ac_number,winner_party,winner_votes,year,total_votes,runner_votes,num_candidates,winner_share,margin_votes,margin_pct,constituency,district,region,reserved,turnout
16,17,DMK,64424,2021,121191,36645,27,53.16,27779,22.92,Royapuram,Chennai,Chennai Metro,GEN,62.6
17,18,DMK,59317,2021,101650,32043,29,58.35,27274,26.83,Harbour,Chennai,Chennai Metro,GEN,57.64
18,19,DMK,93285,2021,137405,23930,27,67.89,69355,50.47,Chepauk-Thiruvallikeni,Chennai,Chennai Metro,GEN,58.33
19,20,DMK,71867,2021,135940,39405,21,52.87,32462,23.88,Thousand Lights,Chennai,Chennai Metro,GEN,56.25
20,21,DMK,80054,2021,165096,52609,24,48.49,27445,16.62,Anna Nagar,Chennai,Chennai Metro,GEN,57.33
21,22,DMK,74351,2021,169087,55984,28,43.97,18367,10.86,Virugampakkam,Chennai,Chennai Metro,GEN,57.59
22,23,DMK,80194,2021,160327,50786,31,50.02,29408,18.34,Saidapet,Chennai,Chennai Metro,GEN,57.36
23,24,DMK,56035,2021,138114,55898,15,40.57,137,0.1,Theayagaraya Nagar,Chennai,Chennai Metro,GEN,55.99
24,25,DMK,68392,2021,153430,55759,24,44.58,12633,8.23,Mylapore,Chennai,Chennai Metro,GEN,56.6
25,26,INC,68493,2021,176714,64141,24,38.76,4352,2.46,Velachery,Chennai,Chennai Metro,GEN,56.18
26,27,DMK,171558,2021,388355,136153,27,44.18,35405,9.12,Shozhinganallur,Kanchipuram,Chennai Metro,GEN,55.51
27,28,DMK,116785,2021,237751,76214,26,49.12,40571,17.06,Alandur,Kanchipuram,Chennai Metro,GEN,60.82
28,29,INC,115353,2021,264262,104474,16,43.65,10879,4.12,Sriperumbudur,Kanchipuram,Chennai Metro,SC,73.94
29,30,DMK,126427,2021,266194,88646,23,47.49,37781,14.19,Pallavaram,Kanchipuram,Chennai Metro,GEN,60.86
30,31,DMK,116840,2021,248968,80016,23,46.93,36824,14.79,Tambaram,Kanchipuram,Chennai Metro,GEN,59.55
31,32,DMK,130573,2021,274087,103908,14,47.64,26665,9.73,Chengalpattu,Kanchipuram,Chennai Metro,GEN,63.54
32,33,VCK,93954,2021,226729,92007,12,41.44,1947,0.86,Thiruporur,Kanchipuram,North,GEN,76.36
33,34,VCK,82750,2021,179120,78708,10,46.2,4042,2.26,Cheyyur,Kanchipuram,North,SC,77.88
34,35,AIADMK,86646,2021,185842,83076,11,46.62,3570,1.92,Maduranthakam,Kanchipuram,North,SC,80.65
35,36,DMK,93427,2021,210529,91805,21,44.38,1622,0.77,Uthiramerur,Kanchipuram,North,GEN,80.1
36,37,DMK,102712,2021,229432,91117,16,44.77,11595,5.05,Kancheepuram,Kanchipuram,North,GEN,73.28
37,38,AIADMK,85399,2021,171412,58230,14,49.82,27169,15.85,Arakonam,Vellore,North,SC,74.89
38,39,INC,110228,2021,224109,83530,19,49.18,26698,11.91,Sholinghur,Vellore,North,GEN,80.09
39,40,DMK,85140,2021,186246,84394,16,45.71,746,0.4,Katpadi,Vellore,North,GEN,74.0
40,41,DMK,103291,2021,207462,86793,15,49.79,16498,7.95,Ranipet,Vellore,North,GEN,77.24
41,42,DMK,103885,2021,209791,83927,13,49.52,19958,9.51,Arcot,Vellore,North,GEN,79.62
42,43,DMK,84299,2021,179899,75118,18,46.86,9181,5.1,Vellore,Vellore,North,GEN,70.25
43,44,DMK,95159,2021,197805,88799,14,48.11,6360,3.22,Anaikattu,Vellore,North,GEN,77.05
44,45,AIADMK,84579,2021,174124,73997,11,48.57,10582,6.08,Kilvaithinankuppam,Vellore,North,SC,76.5
45,46,DMK,100412,2021,211630,93511,16,47.45,6901,3.26,Gudiyatham,Vellore,North,SC,72.56
46,47,AIADMK,88018,2021,189997,83114,14,46.33,4904,2.58,Vaniayambadi,Vellore,North,GEN,75.55
47,48,DMK,90476,2021,177878,70244,14,50.86,20232,11.37,Ambur,Vellore,North,GEN,74.01
48,49,DMK,89490,2021,196358,88399,14,45.57,1091,0.56,Jolarpet,Vellore,North,GEN,80.98
49,50,DMK,96522,2021,185930,68282,16,51.91,28240,15.19,Tiruppattur,Vellore,North,GEN,76.97
50,51,AIADMK,99675,2021,188223,71288,13,52.96,28387,15.08,Uthangarai,Krishnagiri,North,SC,78.37
51,52,DMK,97256,2021,197784,84642,15,49.17,12614,6.38,Bargur,Krishnagiri,North,GEN,79.08
52,53,AIADMK,96050,2021,211648,95256,16,45.38,794,0.38,Krishnagiri,Krishnagiri,North,GEN,78.5
53,54,AIADMK,94104,2021,205141,91050,16,45.87,3054,1.49,Veppanahalli,Krishnagiri,North,GEN,81.31
54,55,DMK,118231,2021,248098,105864,19,47.65,12367,4.98,Hosur,Krishnagiri,North,GEN,70.09
55,56,CPI,120641,2021,194022,64415,13,62.18,56226,28.98,Thalli,Krishnagiri,North,GEN,77.06
56,57,AIADMK,110070,2021,206595,81970,13,53.28,28100,13.6,Palacode,Dharmapuri,North,GEN,87.37
57,58,PMK,106123,2021,210305,84937,16,50.46,21186,10.07,Pennagaram,Dharmapuri,North,GEN,85.0
58,59,PMK,105630,2021,217333,78770,22,48.6,26860,12.36,Dharmapuri,Dharmapuri,North,GEN,79.69
59,60,AIADMK,114507,2021,220994,77564,16,51.81,36943,16.72,Pappireddippatti,Dharmapuri,North,GEN,82.15
60,61,AIADMK,99061,2021,198565,68699,14,49.89,30362,15.29,Harur,Dharmapuri,North,SC,78.46
61,62,DMK,108081,2021,223950,96511,16,48.26,11570,5.17,Chengam,Tiruvannamalai,North,SC,80.66
62,63,DMK,137876,2021,208836,43203,16,66.02,94673,45.33,Tiruvannamalai,Tiruvannamalai,North,GEN,71.69
63,64,DMK,104675,2021,203886,77888,22,51.34,26787,13.14,Kilpennathur,Tiruvannamalai,North,GEN,79.35
64,65,DMK,94134,2021,196434,84912,16,47.92,9222,4.69,Kalasapakkam,Tiruvannamalai,North,GEN,80.36
65,66,AIADMK,97732,2021,202012,88007,16,48.38,9725,4.81,Polur,Tiruvannamalai,North,GEN,82.33
66,67,AIADMK,102961,2021,221422,99833,16,46.5,3128,1.41,Arani,Tiruvannamalai,North,GEN,79.84
67,68,DMK,102460,2021,214460,90189,16,47.78,12271,5.72,Cheyyar,Tiruvannamalai,North,GEN,81.69
68,69,DMK,102064,2021,185974,66111,12,54.88,35953,19.33,Vandavasi,Tiruvannamalai,North,SC,76.81
69,70,DMK,109625,2021,206880,73822,14,52.99,35803,17.31,Gingee,Villupuram,Central,GEN,78.21
70,71,PMK,81044,2021,176989,78814,15,45.79,2230,1.26,Mailam,Villupuram,Central,GEN,79.5
71,72,AIADMK,87152,2021,182538,77399,16,47.74,9753,5.34,Tindivanam,Villupuram,Central,SC,78.43
72,73,AIADMK,92219,2021,182208,70492,8,50.61,21727,11.92,Vanur,Villupuram,Central,SC,79.79
73,74,DMK,102271,2021,204860,87403,26,49.92,14868,7.26,Villupuram,Villupuram,Central,GEN,76.97
74,75,DMK,93730,2021,193617,84157,15,48.41,9573,4.94,Vikravandi,Villupuram,Central,GEN,81.39
75,76,DMK,110980,2021,196217,51300,15,56.56,59680,30.42,Tirukkoyilur,Villupuram,Central,GEN,76.27
76,77,DMK,115451,2021,244853,110195,16,47.15,5256,2.15,Ulundurpet,Villupuram,Central,GEN,82.62
77,78,DMK,113912,2021,215106,72184,16,52.96,41728,19.4,Rishivandiam,Villupuram,Central,GEN,80.18
78,79,DMK,121186,2021,215802,75223,20,56.16,45963,21.3,Sankarapuram,Villupuram,Central,GEN,79.58
79,80,AIADMK,110643,2021,225858,84752,18,48.99,25891,11.46,Kallakurichi,Villupuram,Central,SC,78.16
80,81,AIADMK,89568,2021,186503,82207,12,48.02,7361,3.95,Gangavalli,Salem,Central,SC,77.11
81,82,AIADMK,95308,2021,199743,87051,12,47.72,8257,4.13,Attur,Salem,Central,SC,77.26
82,83,AIADMK,121561,2021,238924,95606,14,50.88,25955,10.86,Yercaud,Salem,Central,ST,83.09
83,84,AIADMK,142488,2021,249027,87194,16,57.22,55294,22.2,Omalur,Salem,Central,GEN,83.28
84,85,PMK,97055,2021,218442,96399,15,44.43,656,0.3,Mettur,Salem,Central,GEN,75.01
85,86,AIADMK,163154,2021,247301,69352,29,65.97,93802,37.93,Edapadi,Salem,Central,GEN,85.64
86,87,AIADMK,115472,2021,232247,95427,24,49.72,20045,8.63,Sankari,Salem,Central,GEN,83.71
87,88,PMK,105483,2021,216628,83984,29,48.69,21499,9.92,Salem (West),Salem,Central,GEN,71.81
88,89,DMK,93432,2021,202376,85844,21,46.17,7588,3.75,Salem (North),Salem,Central,GEN,72.14
89,90,AIADMK,97506,2021,199982,74897,25,48.76,22609,11.31,Salem (South),Salem,Central,GEN,76.0
90,91,AIADMK,111682,2021,223702,91787,21,49.92,19895,8.89,Veerapandi,Salem,Central,GEN,85.64
91,92,DMK,90727,2021,196904,88775,16,46.08,1952,0.99,Rasipuram,Namakkal,Central,SC,82.05
92,93,DMK,90681,2021,199235,80188,16,45.51,10493,5.27,Sendamangalam,Namakkal,Central,ST,80.93
93,94,DMK,106494,2021,206759,78633,27,51.51,27861,13.48,Namakkal,Namakkal,Central,GEN,78.57
94,95,AIADMK,86034,2021,183697,78372,28,46.83,7662,4.17,Paramathi-Velur,Namakkal,Central,GEN,81.14
95,96,DMK,81688,2021,184669,78826,29,44.23,2862,1.55,Tiruchengode,Namakkal,Central,GEN,78.71
96,97,AIADMK,100800,2021,201925,69154,30,49.92,31646,15.67,Kumarapalayam,Namakkal,Central,GEN,78.85
97,98,INC,67300,2021,152037,58396,15,44.27,8904,5.86,Erode (East),Erode,Kongu,GEN,66.24
98,99,DMK,100757,2021,205579,78668,16,49.01,22089,10.74,Erode (West),Erode,Kongu,GEN,69.36
99,100,BJP,78125,2021,181857,77844,16,42.96,281,0.15,Modakurichi,Erode,Kongu,GEN,75.26
100,101,DMK,89986,2021,193991,88593,15,46.39,1393,0.72,Dharapuram,Erode,Kongu,SC,74.15
101,102,DMK,94197,2021,199818,86866,27,47.14,7331,3.67,Kangayam,Erode,Kongu,GEN,77.19
102,103,AIADMK,85125,2021,189843,70618,26,44.84,14507,7.64,Perundurai,Erode,Kongu,GEN,82.6
103,104,AIADMK,100915,2021,201385,78392,15,50.11,22523,11.18,Bhavani,Erode,Kongu,GEN,83.5
104,105,DMK,79096,2021,176385,77821,21,44.84,1275,0.72,Anthiyur,Erode,Kongu,GEN,79.69
105,106,AIADMK,108608,2021,214281,80045,20,50.68,28563,13.33,Gobichettipalayam,Tirupur,Kongu,GEN,82.52
106,107,AIADMK,99181,2021,200567,83173,7,49.45,16008,7.98,Bhavanisagar,Tirupur,Kongu,SC,77.37
107,108,INC,65530,2021,141102,60182,10,46.44,5348,3.79,Udhagamandalam,Tirupur,Kongu,GEN,67.82
108,109,AIADMK,64496,2021,138257,62551,8,46.65,1945,1.41,Gudalur,Tirupur,Kongu,SC,72.15
109,110,DMK,61820,2021,135908,57715,11,45.49,4105,3.02,Coonoor,Tirupur,Kongu,GEN,69.79
110,111,AIADMK,105231,2021,225083,102775,11,46.75,2456,1.09,Mettupalayam,Tirupur,Kongu,GEN,75.14
111,112,AIADMK,117284,2021,212627,66382,13,55.16,50902,23.94,Avanashi,Tirupur,Kongu,SC,75.18
112,113,AIADMK,113384,2021,238092,73282,16,47.62,40102,16.84,Tiruppur (North),Tirupur,Kongu,GEN,62.44
113,114,DMK,75535,2021,174418,70826,21,43.31,4709,2.7,Tiruppur (South),Nilgiris,Kongu,GEN,62.74
114,115,AIADMK,126903,2021,261511,94212,21,48.53,32691,12.5,Palladam,Nilgiris,Kongu,GEN,66.7
115,116,AIADMK,118968,2021,241653,87036,16,49.23,31932,13.21,Sulur,Nilgiris,Kongu,GEN,75.57
116,117,AIADMK,135669,2021,309918,125893,13,43.78,9776,3.15,Kavundampalayam,Coimbatore,Kongu,GEN,66.13
117,118,AIADMK,81454,2021,202799,77453,21,40.16,4001,1.97,Coimbatore North,Coimbatore,Kongu,GEN,59.21
118,119,AIADMK,124225,2021,230531,82595,11,53.89,41630,18.06,Thondamuthur,Coimbatore,Kongu,GEN,70.22
119,120,BJP,53209,2021,154765,51481,22,34.38,1728,1.12,Coimbatore South,Coimbatore,Kongu,GEN,60.69
120,121,AIADMK,81244,2021,202021,70390,22,40.22,10854,5.37,Singanallur,Coimbatore,Kongu,GEN,61.73
121,122,AIADMK,101537,2021,232435,100442,15,43.68,1095,0.47,Kinathukadavu,Coimbatore,Kongu,GEN,70.64
122,123,AIADMK,80567,2021,177308,78842,9,45.44,1725,0.97,Pollachi,Coimbatore,Kongu,GEN,77.34
123,124,AIADMK,71672,2021,145172,59449,7,49.37,12223,8.42,Valparai,Coimbatore,Kongu,SC,70.04
124,125,AIADMK,96893,2021,194358,74998,16,49.85,21895,11.27,Udumalpet,Coimbatore,Kongu,GEN,71.31
125,126,AIADMK,84313,2021,181902,77875,16,46.35,6438,3.54,Madathukulam,Coimbatore,Kongu,GEN,72.45
126,127,DMK,108566,2021,205384,78510,25,52.86,30056,14.63,Palani,Dindigul,South,GEN,73.33
127,128,DMK,109970,2021,201756,81228,15,54.51,28742,14.25,Oddanchatram,Dindigul,South,GEN,83.08
128,129,DMK,165809,2021,229940,30238,21,72.11,135571,58.96,Athoor,Dindigul,South,GEN,77.96
129,130,AIADMK,91461,2021,184805,63843,19,49.49,27618,14.94,Nilakottai,Dindigul,South,SC,75.07
130,131,AIADMK,107762,2021,225244,95830,16,47.84,11932,5.3,Natham,Dindigul,South,GEN,78.95
131,132,AIADMK,90595,2021,195118,72848,22,46.43,17747,9.1,Dindigul,Dindigul,South,GEN,69.27
132,133,DMK,106481,2021,213080,88928,21,49.97,17553,8.24,Vedasandur,Dindigul,South,GEN,80.16
133,134,DMK,93369,2021,177114,68553,41,52.72,24816,14.01,Aravakurichi,Karur,Kongu,GEN,81.92
134,135,DMK,101757,2021,207310,89309,78,49.08,12448,6.0,Karur,Karur,Kongu,GEN,83.57
135,136,DMK,96540,2021,180902,64915,27,53.37,31625,17.48,Krishnarayapuram,Karur,Kongu,SC,84.17
136,137,DMK,100829,2021,197456,77289,19,51.06,23540,11.92,Kulithalai,Karur,Kongu,GEN,86.16
137,138,DMK,98077,2021,221748,85834,23,44.23,12243,5.52,Manapparai,Tiruchirappalli,Delta,GEN,76.02
138,139,DMK,113904,2021,240240,93989,16,47.41,19915,8.29,Srirangam,Tiruchirappalli,Delta,GEN,76.15
139,140,DMK,118133,2021,183099,33024,14,64.52,85109,46.48,Tiruchirapalli (West),Tiruchirappalli,Delta,GEN,67.01
140,141,DMK,94302,2021,172856,40505,19,54.56,53797,31.12,Tiruchirapalli (East),Tiruchirappalli,Delta,GEN,66.87
141,142,DMK,105424,2021,197013,55727,16,53.51,49697,25.23,Thiruverambur,Tiruchirappalli,Delta,GEN,66.59
142,143,DMK,84914,2021,174754,67965,15,48.59,16949,9.7,Lalgudi,Tiruchirappalli,Delta,GEN,79.23
143,144,DMK,116334,2021,196719,56716,30,59.14,59618,30.31,Manachanallur,Tiruchirappalli,Delta,GEN,79.63
144,145,DMK,90624,2021,179706,63788,21,50.43,26836,14.93,Musiri,Tiruchirappalli,Delta,GEN,75.98
145,146,DMK,87786,2021,175876,65715,14,49.91,22071,12.55,Thuraiyur,Tiruchirappalli,Delta,SC,76.63
146,147,DMK,122090,2021,240026,91056,10,50.87,31034,12.93,Perambalur,Perambalur,Central,SC,78.2
147,148,DMK,103922,2021,219879,97593,23,47.26,6329,2.88,Kunnam,Perambalur,Central,GEN,80.05
148,149,DMK,103975,2021,225225,100741,14,46.16,3234,1.44,Ariyalur,Ariyalur,Central,GEN,84.54
149,150,DMK,99529,2021,216368,94077,14,46.0,5452,2.52,Jayankondam,Ariyalur,Central,GEN,80.38
150,151,DMK,83726,2021,168184,62163,16,49.78,21563,12.82,Tittakudi,Cuddalore,Central,SC,76.3
151,152,INC,77064,2021,196734,76202,30,39.17,862,0.44,Vriddhachalam,Cuddalore,Central,GEN,77.02
152,153,DMK,75177,2021,164130,74200,13,45.8,977,0.6,Neyveli,Cuddalore,Central,GEN,74.25
153,154,DMK,93801,2021,197049,89104,16,47.6,4697,2.38,Panruti,Cuddalore,Central,GEN,79.6
154,155,DMK,84563,2021,182001,79412,16,46.46,5151,2.83,Cuddalore,Cuddalore,Central,GEN,74.77
155,156,DMK,101456,2021,198781,83929,13,51.04,17527,8.82,Kurinjipadi,Cuddalore,Central,GEN,82.06
156,157,AIADMK,96453,2021,197165,88194,15,48.92,8259,4.19,Bhuvanagiri,Cuddalore,Central,GEN,78.57
157,158,AIADMK,91961,2021,183352,75024,12,50.16,16937,9.24,Chidambaram,Cuddalore,Central,GEN,71.93
158,159,VCK,86056,2021,175561,75491,14,49.02,10565,6.02,Kattumannarkoil,Cuddalore,Central,SC,75.87
159,160,DMK,94057,2021,191325,81909,11,49.16,12148,6.35,Sirkali,Nagapattinam,Delta,SC,74.91
160,161,INC,73642,2021,174640,70900,15,42.17,2742,1.57,Mayiladuthurai,Nagapattinam,Delta,GEN,70.14
161,162,DMK,96102,2021,207838,92803,10,46.24,3299,1.59,Poompuhar,Nagapattinam,Delta,GEN,75.19
162,163,VCK,66281,2021,143560,59043,14,46.17,7238,5.04,Nagapattinam,Nagapattinam,Delta,GEN,71.97
163,164,CPI(M),67988,2021,142995,51003,11,47.55,16985,11.88,Kilvelur,Nagapattinam,Delta,SC,79.43
164,165,AIADMK,78719,2021,158060,66390,13,49.8,12329,7.8,Vedaranyam,Nagapattinam,Delta,GEN,80.6
165,166,CPI,97092,2021,185886,67024,12,52.23,30068,16.18,Thiruthuraipundi,Tiruvarur,Delta,SC,76.74
166,167,DMK,87172,2021,193229,49779,11,45.11,37393,19.35,Mannargudi,Tiruvarur,Delta,GEN,74.34
167,168,DMK,108906,2021,208290,57732,14,52.29,51174,24.57,Thiruvarur,Tiruvarur,Delta,GEN,73.25
168,169,AIADMK,103637,2021,221944,99213,16,46.7,4424,1.99,Nannilam,Tiruvarur,Delta,GEN,81.08
169,170,DMK,95763,2021,198446,85083,15,48.26,10680,5.38,Thiruvidamarudur,Thanjavur,Delta,SC,75.76
170,171,DMK,96057,2021,197564,74674,11,48.62,21383,10.82,Kumbakonam,Thanjavur,Delta,GEN,71.45
171,172,DMK,86567,2021,196982,70294,14,43.95,16273,8.26,Papanasam,Thanjavur,Delta,GEN,74.76
172,173,DMK,103210,2021,211430,49560,13,48.82,53650,25.37,Thiruvaiyaru,Thanjavur,Delta,GEN,78.11
173,174,DMK,103772,2021,194859,56623,13,53.25,47149,24.2,Thanjavur,Thanjavur,Delta,GEN,65.72
174,175,AIADMK,90063,2021,191840,61228,13,46.95,28835,15.03,Orathanad,Thanjavur,Delta,GEN,78.29
175,176,DMK,79065,2021,177200,53796,9,44.62,25269,14.26,Pattukkottai,Thanjavur,Delta,GEN,71.66
176,177,DMK,89130,2021,170850,65627,9,52.17,23503,13.76,Peravurani,Thanjavur,Delta,GEN,77.02
177,178,CPI(M),69710,2021,157620,56989,15,44.23,12721,8.07,Gandharvakottai,Pudukkottai,Delta,SC,74.45
178,179,AIADMK,102179,2021,193423,78581,23,52.83,23598,12.2,Viralimalai,Pudukkottai,Delta,GEN,85.43
179,180,DMK,85802,2021,179892,72801,22,47.7,13001,7.23,Pudukkottai,Pudukkottai,Delta,GEN,72.94
180,181,DMK,71349,2021,174031,69967,23,41.0,1382,0.79,Thirumayam,Pudukkottai,Delta,GEN,75.85
181,182,DMK,87935,2021,171842,62088,12,51.17,25847,15.04,Alangudi,Pudukkottai,Delta,GEN,78.47
182,183,INC,81835,2021,168048,50942,23,48.7,30893,18.38,Arantangi,Pudukkottai,Delta,GEN,70.21
183,184,INC,75954,2021,212456,54365,14,35.75,21589,10.16,Karaikudi,Sivaganga,South,GEN,66.23
184,185,DMK,103682,2021,210766,66308,27,49.19,37374,17.73,Tiruppattur,Sivaganga,South,GEN,71.98
185,186,AIADMK,82153,2021,202044,70900,16,40.66,11253,5.57,Sivaganga,Sivaganga,South,GEN,66.29
186,187,DMK,89364,2021,203061,75273,14,44.01,14091,6.94,Manamadurai,Sivaganga,South,SC,72.05
187,188,AIADMK,83344,2021,182782,48182,16,45.6,35162,19.24,Melur,Madurai,South,GEN,74.23
188,189,DMK,122729,2021,237892,73125,16,51.59,49604,20.85,Madurai East,Madurai,South,GEN,71.34
189,190,DMK,84240,2021,175361,67195,21,48.04,17045,9.72,Sholavandan,Madurai,South,SC,79.49
190,191,DMK,73010,2021,156556,50094,16,46.64,22916,14.64,Madurai North,Madurai,South,GEN,63.6
191,192,DMK,62812,2021,147833,56297,14,42.49,6515,4.41,Madurai South,Madurai,South,GEN,63.8
192,193,DMK,73205,2021,149430,39029,15,48.99,34176,22.87,Madurai Central,Madurai,South,GEN,61.03
193,194,AIADMK,83883,2021,201694,74762,16,41.59,9121,4.52,Madurai West,Madurai,South,GEN,65.12
194,195,AIADMK,103683,2021,235849,74194,24,43.96,29489,12.5,Thiruparankundram,Madurai,South,GEN,72.73
195,196,AIADMK,100338,2021,220495,86251,25,45.51,14087,6.39,Thirumangalam,Madurai,South,GEN,78.13
196,197,AIADMK,71255,2021,212513,63778,15,33.53,7477,3.52,Usilampatti,Madurai,South,GEN,73.82
197,198,DMK,93541,2021,209540,85003,21,44.64,8538,4.07,Andipatti,Theni,South,GEN,74.85
198,199,DMK,92251,2021,201797,70930,16,45.71,21321,10.57,Periyakulam,Theni,South,SC,69.94
199,200,AIADMK,100050,2021,214795,89029,25,46.58,11021,5.13,Bodinayakanur,Theni,South,GEN,76.3
200,201,DMK,104800,2021,202275,62387,16,51.81,42413,20.97,Cumbum,Theni,South,GEN,69.51
201,202,DMK,74158,2021,178708,70260,15,41.5,3898,2.18,Rajapalayam,Virudhunagar,South,GEN,73.89
202,203,AIADMK,70475,2021,185039,57737,16,38.09,12738,6.88,Srivilliputhur,Virudhunagar,South,SC,73.14
203,204,DMK,74174,2021,191783,62995,28,38.68,11179,5.83,Sattur,Virudhunagar,South,GEN,75.17
204,205,INC,78947,2021,185047,61628,27,42.66,17319,9.36,Sivakasi,Virudhunagar,South,GEN,70.16
205,206,DMK,73297,2021,161717,51958,19,45.32,21339,13.2,Virudhunagar,Virudhunagar,South,GEN,71.27
206,207,DMK,91040,2021,171201,52006,30,53.18,39034,22.8,Aruppukottai,Virudhunagar,South,GEN,75.6
207,208,DMK,102225,2021,172811,41233,21,59.15,60992,35.29,Tiruchuli,Virudhunagar,South,GEN,77.46
208,209,DMK,84864,2021,182158,71579,16,46.59,13285,7.29,Paramakudi,Ramanathapuram,South,SC,70.59
209,210,INC,79364,2021,201815,65512,16,39.33,13852,6.86,Tiruvadanai,Ramanathapuram,South,GEN,68.72
210,211,DMK,111082,2021,214098,60603,20,51.88,50479,23.58,Ramanathapuram,Ramanathapuram,South,GEN,68.81
211,212,DMK,101901,2021,221213,81180,24,46.06,20721,9.37,Mudukulathur,Ramanathapuram,South,GEN,70.29
212,213,DMK,90348,2021,167169,51799,16,54.05,38549,23.06,Vilathikulam,Thoothukudi,South,GEN,76.52
213,214,DMK,92314,2021,188407,42004,27,49.0,50310,26.7,Thoothukkudi,Thoothukudi,South,GEN,65.07
214,215,DMK,88274,2021,174536,63011,16,50.58,25263,14.47,Tiruchendur,Thoothukudi,South,GEN,70.04
215,216,INC,76843,2021,164386,59471,22,46.75,17372,10.57,Srivaikuntam,Thoothukudi,South,GEN,72.34
216,217,DMK,73110,2021,177840,64600,18,41.11,8510,4.79,Ottapidaram,Thoothukudi,South,SC,69.82
217,218,AIADMK,68556,2021,180928,56153,27,37.89,12403,6.86,Kovilpatti,Thoothukudi,South,GEN,67.43
218,219,DMK,71347,2021,183338,66050,16,38.92,5297,2.89,Sankarankovil,Tirunelveli,South,SC,71.48
219,220,DMK,68730,2021,175881,66363,12,39.08,2367,1.35,Vasudevanallur,Tirunelveli,South,SC,71.87
220,221,AIADMK,88474,2021,205374,64125,22,43.08,24349,11.86,Kadayanallur,Tirunelveli,South,GEN,70.35
221,222,INC,89315,2021,214108,88945,19,41.71,370,0.17,Tenkasi,Tirunelveli,South,GEN,72.4
222,223,AIADMK,74153,2021,203478,70614,11,36.44,3539,1.74,Alangulam,Tirunelveli,South,GEN,77.4
223,224,BJP,92282,2021,197587,69175,15,46.7,23107,11.69,Tirunelveli,Tirunelveli,South,GEN,66.91
224,225,AIADMK,85211,2021,177681,68296,13,47.96,16915,9.52,Ambasamudram,Tirunelveli,South,GEN,72.03
225,226,DMK,89117,2021,161091,36976,11,55.32,52141,32.37,Palayamcottai,Tirunelveli,South,GEN,57.76
226,227,INC,75902,2021,192522,59416,16,39.43,16486,8.56,Nanguneri,Tirunelveli,South,GEN,68.59
227,228,DMK,82331,2021,187310,76406,26,43.95,5925,3.16,Radhapuram,Tirunelveli,South,GEN,68.08
228,229,AIADMK,109745,2021,224874,93532,14,48.8,16213,7.21,Kanniyakumari,Kanniyakumari,South,GEN,75.19
229,230,BJP,88804,2021,184185,77135,16,48.21,11669,6.34,Nagercoil,Kanniyakumari,South,GEN,67.06
230,231,INC,90681,2021,182969,65849,13,49.56,24832,13.57,Colachel,Kanniyakumari,South,GEN,67.27
231,232,DMK,87744,2021,170156,60859,13,51.57,26885,15.8,Padmanabhapuram,Kanniyakumari,South,GEN,70.08
232,233,INC,87473,2021,167836,58804,16,52.12,28669,17.08,Vilavancode,Kanniyakumari,South,GEN,66.83
233,234,INC,101541,2021,169918,46141,15,59.76,55400,32.6,Killiyoor,Kanniyakumari,South,GEN,65.87
