winner_party_2021,AIADMK,AMMK,BJP,CPI(M),DMDK,DMK,INC,IUML,PMK,TVK,VCK
AIADMK,0,0,0,0,0,15,1,1,0,26,1
BJP,0,0,0,0,0,2,0,0,0,2,0
CPI(M),0,0,0,0,0,0,0,0,0,1,0
DMK,22,1,0,1,0,0,0,1,3,65,0
INC,0,0,1,0,1,1,0,0,0,11,0
PMK,2,0,0,0,0,0,0,0,0,2,0
VCK,1,0,0,0,0,1,0,0,0,1,0
