,ac_number,constituency,region,reserved,winner_party_2021,winner_share_2021,margin_pct_2021,winner_party_2026,winner_share_2026,margin_pct_2026,total_votes,num_candidates,flipped,share_delta,margin_delta
24,25,Mylapore,Chennai Metro,GEN,DMK,44.58,8.23,TVK,46.53,19.24,150594,20,True,1.95,11.01
25,26,Velachery,Chennai Metro,GEN,INC,38.76,2.46,TVK,43.52,18.02,184815,28,True,4.76,15.56
26,27,Shozhinganallur,Chennai Metro,GEN,DMK,44.18,9.12,TVK,49.27,21.64,447295,28,True,5.09,12.52
27,28,Alandur,Chennai Metro,GEN,DMK,49.12,17.06,TVK,42.9,11.32,261570,24,True,-6.22,-5.74
28,29,Sriperumbudur,Chennai Metro,SC,INC,43.65,4.12,TVK,44.58,16.38,331088,14,True,0.93,12.26
29,30,Pallavaram,Chennai Metro,GEN,DMK,47.49,14.19,TVK,47.1,19.28,283677,24,True,-0.39,5.09
30,31,Tambaram,Chennai Metro,GEN,DMK,46.93,14.79,TVK,42.67,12.78,278809,16,True,-4.26,-2.01
31,32,Chengalpattu,Chennai Metro,GEN,DMK,47.64,9.73,TVK,42.32,11.0,324010,16,True,-5.32,1.27
32,33,Thiruporur,North,GEN,VCK,41.44,0.86,TVK,41.96,15.0,262409,12,True,0.52,14.14
33,34,Cheyyur,North,SC,VCK,46.2,2.26,AIADMK,34.02,3.02,187584,14,True,-12.18,0.76
34,35,Maduranthakam,North,SC,AIADMK,46.62,1.92,AIADMK,34.95,3.63,198251,10,False,-11.67,1.71
35,36,Uthiramerur,North,GEN,DMK,44.38,0.77,TVK,37.28,6.24,227765,15,True,-7.1,5.47
36,37,Kancheepuram,North,GEN,DMK,44.77,5.05,TVK,37.09,6.29,246317,16,True,-7.68,1.24
37,38,Arakonam,North,SC,AIADMK,49.82,15.85,TVK,40.46,12.68,182340,14,True,-9.36,-3.17
38,39,Sholinghur,North,GEN,INC,49.18,11.91,TVK,36.16,2.43,233684,24,True,-13.02,-9.48
39,40,Katpadi,North,GEN,DMK,45.71,0.4,TVK,34.33,2.88,203497,16,True,-11.38,2.48
40,41,Ranipet,North,GEN,DMK,49.79,7.95,TVK,41.24,2.62,221038,16,True,-8.55,-5.33
41,42,Arcot,North,GEN,DMK,49.52,9.51,AIADMK,46.77,18.92,225786,15,True,-2.75,9.41
42,43,Vellore,North,GEN,DMK,46.86,5.1,TVK,38.33,3.56,190527,16,True,-8.53,-1.54
43,44,Anaikattu,North,GEN,DMK,48.11,3.22,AIADMK,35.27,3.27,216318,14,True,-12.84,0.05
44,45,Kilvaithinankuppam,North,SC,AIADMK,48.57,6.08,TVK,39.13,10.67,189892,12,True,-9.44,4.59
